doi,paper
10.1029/2020WR027984,"Costa, D., Shook, K., Spence, C, Elliott, J., Baulch, H., Wilson, H. and Pomeroy, J.W.: Predicting variable contributing areas, hydrological connectivity, and solute transport pathways for a Canadian Prairie basin. Water Resources Research, 56(12), e2020WR027984,"
10.3390/agriculture11080739,"De Haan, K., Khomik, M., Kessel, E., Green, A., Helgason, W., Macrae, M.L. and  Petrone, R.M.: Assessment of different water use efficiency calculations for dominant forage crops in the Great Lakes basin, Agriculture, 11(8), 739, https://"
10.1111/j.1365-2486.2008.01651.x,"De Haan, K., Khomik, M., Kessel, E., Green, A., Helgason, W., Macrae, M.L. and  Petrone, R.M.: Ecosystem influences on carbon and water dynamics of two temperate forage crops, Agronomy (in press), 2022  "
10.3390/hydrology8010001,"Golmohammadi, G., Rudra, R., Parkin, G., Kulasekera, P., Macrae, M.L., and Goel, P.K.: Assessment of impacts of climate change on tile discharge and nitrogen yield using the DRAINMOD model, Hydrology 8(1): 1, "
10.2489/jswc.2021.00099,"Kokulan, V., Macrae, M.L., Lobb, D.A. and Ali, G.A.: Temporal variability in water and nutrient movement through vertisols into agricultural tile drains in the Northern Great Plains, Journal of Soil and Water Conservation 76(4): 317-328, "
10.1016/j.scitotenv.2021.149628,"Kompanizare, M., Petrone, R.M., Macrae, M.L., De Haan, K., Khomik, M.: Assessment of effective LAI and water use efficiency in maize and alfalfa crops, using leaf-scale C3C4PM photosynthesis model and Eddy Covariance tower data, Science of the Total Environment, 802, 149628, 10.1016/j.scitotenv.2021.149628, 2022 "
10.1080/07011784.2022.2032365,"Liu J., Roste J., Baulch H.M., Elliott, J.A., Davies, J.M., Shupena-Soulodre, E.: Screening and scoping-level assessment of beneficial management practices in a Canadian prairie watershed. Canadian Water Resources Journal, 47, 83-109, "
10.1016/j.dib.2021.107405,"Liu, J., Elliott, J.A., Wilson, H.F., Macrae, M.L., Baulch, H.M., and Lobb, D.A.: Phosphorus runoff from Canadian agricultural land: A dataset for 30 experimental fields, Data in Brief, 38, 107405, https://"
10.1016/j.agwat.2021.107030,"Liu, J., Elliott, J.A., Wilson, H.F., Macrae, M.L., Baulch, H.M., Lobb, D.A.: Phosphorus runoff from Canadian agricultural land: A cross-region synthesis of edge-of-field results. Agricultural Water Management, 255, 107030. https://"
10.1002/jeq2.20218,"Macrae, M.L., Jarvie, H., Brouwer, R., Gunn, G., Reid, K., Joosse, P., King, K., Kleinman, P.J., Smith, D., Williams, M. and Zonitzer, M.: One size does not fit all: Toward regional conservation practice guidance to reduce phosphorus loss risk in the Lake Erie watershed, Journal of Environmental Quality, 50(3), 529-546, https://"
10.1016/j.jglr.2021.08.004,"Price, D., Plach, J.M., Jarvie, H.P., and Macrae, M.L.: Bunker silo runoff discharged via a riparian zone: contributions to watershed phosphorus loads under varying flow conditions, Journal of Great Lakes Research, 47(5), 1296-1304, https://"
10.1002/qj.4188,"Agyeman, R. Huo, F. Li, Z., and Li, Y.: Modelled changes in selected agroclimatic indices over the croplands of western Canada under the RCP8. 5 scenario. Quarterly Journal of the Royal Meteorological Society, 147 (741), 4454-4467, https://"
10.1029/2020MS002159,"Zhang, Z., Barlage, M., Chen, F., Li, Y., Helgason, W., Xu, X., Liu, X. and Li, Z.: Joint modeling of crop and irrigation in the Central United States using the Noah‐MP land surface model, Journal of Advances in Modeling Earth Systems, https://"
10.1016/j.ecolecon.2022.107389,"Liu, H. and Brouwer, R.: Incentivizing the future adoption of best management practices on agricultural land to protect water resources: The role of past participation and experiences, Ecological Economics, 196, 107389, https://"
10.1139/cjfr-2021-0183,"Deane PJ, Wilkinson SL, Verkaik GJ, Moore PA, Schroeder D, Waddington JM. 2022. Peat surface compression reduces smouldering fire potential as a novel fuel treatment for boreal peatlands. Canadian Journal of Forest Research 52: 396-405, "
10.1016/j.geoderma.2022.115827,"Hanes CC, Wotton M, Woolford DG, Martell DL Flannigan MD (2022) Mapping organic layer thickness and fuel load of the boreal forest in Alberta, Canada. Geoderma 417: 115827. "
10.1016/J.JHYDROL.2021.126793,"McCarter CPR, Wilkinson SL, Moore PA, Waddington JM. 2021. Ecohydrological trade-offs from multiple peatland disturbances: The interactive effects of drainage, harvesting, restoration and wildfire in a Southern Ontario bog. Journal of Hydrology 601: 126793, "
10.1002/hyp.14086,"Robinne F-N, Hallema DW, Bladon KD, Flannigan MD, Boisramé G, Bréthaut CM,  Gallagher L, Doerr SH, Di Baldassarre G, Gallagher L, Hohner A, Khan SJ, Kinoshita AM, Mordecai R, Nunes JP, Nyman P, Santín C, Sheridan G, Stoof C, Thompson MP, Waddington JM, Wei Y. 2021. Scientists' warning on extreme wildfire risks to water supply. Hydrological Processes 35: e14086, "
10.1071/WF21001,"Wilkinson SL, Furukawa AK, Wotton BM, Waddington JM. 2021. Mapping smouldering fire potential in boreal peatlands and assessing interactions with the wildland-human interface in Alberta, Canada.  International Journal of Wildland Fire 30: 552-563. "
10.1016/j.socscimed.2022.114864,"Duignan, S., Moffat, T., Martin-Hill, D. (2022). “Be like the running water: Assessing gendered and age-based water insecurity experiences with Six Nations First Nation” (co[1]authored with S. Duignan and T. Moffat), Social Science & Medicine, 298, 114864, 2022. https://"
10.7870/cjcmh-2022-004,"Noronha, N., Avarino, A., Balakumar, S., Toy, K., Smith, S., Wekerle, C., Martin-Hill, D., Lookinghorse, M., Drossos, A., Niec, A., Jacobs, B., Thomasen, K., & Lokker, C. “Mental Health Mobile Applications Developed for Indigenous Communities in Canada: A Scoping Review” Canadian Journal of Community Mental Health 41 (1): 1 - 5, 2022. https://"
10.7202/1077724ar,"Noronha, N., Smith, S. J., Martin Hill, D., Davis Hill, L., Smith, S., General, A., McQueen, C., Looking Horse, M., Drossos, A., Lokker, C., Bilodeau, N., & Wekerle, C. “The Use of Mobile Applications to Support Indigenous Wellbeing in Canada.” International Journal of Child and Adolescent Resilience, 8(1): 124 – 134, 2021. https://"
10.1145/3534520,"AbediniAla M and Roy B, ""Facilitating Collaborative Scientific Workflow Composition Using Provenance"", Journal Proceedings of the ACM on Human-Computer Interaction, EICS, 25 pages, 2022 (Accepted).  "
10.1109/IV.2002.1028832,"Ahmed, Z., Beyene, M., Mondal, D., Roy, C. K., Dutchyn, C., and Schneider, K. A.: ContourDiff: Revealing Differential Trends in Spatiotemporal Data. In Proceedings of the 25th International Conference on Information Visualisation (IV 2021). "
10.1145/3510455.3512793,"Bhattacharjee A, Roy B, and *Schneider KA, ""Supporting program comprehension by generating abstract code summary tree"", in Proceedings of the 44th International Conference on Software Engineering (ICSE 2022) New Ideas and Emerging Results track, 5pp., Pittsburgh, PA, USA, May 2022.  "
10.1145/3511430.3511441,"Bhattacharjee A, Roy B, and Schneider KA, ""Supporting Readability by Comprehending the Hierarchical Abstraction of a Software Project"", ACM 15th Innovation in Software Engineering Conference (ISEC 2022), Article 13, pp. 1-10, DA-IICT Gandhinagar, February 2022. "
10.1145/3457145,"Chakroborti D, Roy B, Sumana S N. (2021), “Designing for Recommending Intermediate States in A Scientific Workflow Management System”, Journal Proceedings of the ACM on Human-Computer Interaction, 5, EICS, Article 198 (June 2021), pp.,1-29, "
10.1145/3511430.3511444,"Cynthia ST, Roy B and *Mondal D, ""Feature Transformation for Improved Software Bug Detection Models"", ACM 15th Innovation in Software Engineering Conference (ISEC 2022), Article 16, pp. 1-10, DA-IICT Gandhinagar, February 2022. "
10.4204/EPTCS.273,"Espenant, J. and Mondal, D.: StreamTable: An Area Proportional Visualization for Tables with Flowing Streams. In Proceedings of the 16th International Conference and Workshop on Algorithms and Computation (WALCOM), 2022. "
10.1007/978-3-030-90439-5_8,"Hasan, M. R., Mondal, D., Tasnim, J., Schneider, K. A.: Putting Table Cartograms into Practice. ISVC (1) 2021: 91-102 "
10.1145/1008992,"Jimmy Lin, Xueguang Ma, Sheng-Chieh Lin, Jheng-Hong Yang, Ronak Pradeep, and Rodrigo Nogueira. Pyserini: A Python Toolkit for Reproducible Information Retrieval Research with Sparse and Dense Representations. Proceedings of the 44th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2021), pages 2356-2362, July 2021. "
