title,author,abstract,url,pages,doi,bibkey,project
Comment on “Groundwater Pumping Is a Significant Unrecognized Contributor to Global Anthropogenic Element Cycles”,"Grant Ferguson, Jennifer C. McIntosh, ","The ideas presented by Stahl (2018) are intriguing. There is a wealth of information that supports that groundwater pumping has perturbed the hydrologic cycle at a global scale (Konikow 2011; Rodell et al. 2018) and perturbations to global elemental cycles would not be unexpected. However, the analysis presented by Stahl (2018) is problematic. Stahl assumes that the 45% of produced waters from oil field operations that were not used in enhanced oil recovery (EOR) are released into the more active portion of the hydrological cycle based on 2007 figures for the United States from Clark and Veil (2009). This figure is substantially lower in reality. Clark and Veil (2009) report that 38.2% of produced waters were injected into nonproducing strata. This injection occurs almost exclusively through Class II disposal wells, which are typically installed in saline aquifers (EPA 2018). Similar practices have been noted in Canada, where there has been a net gain in the amount of water in the Western Canada Sedimentary Basin (Ferguson 2015). In addition, Stahl states that 45% of Shell’s produced water is discharged at the surface based on an estimate from Khatib and Verbeek (2003). However, that study also noted that much of this discharge was to the ocean as part of offshore drilling activities. The overestimation of addition of produced water to the active portion of global elemental cycles will have a notable effect on estimates of fluxes of elements such as Li, Na, Cl, and Ca, which are found in high concentrations",G18-1001,82-82,10.1111/gwat.12840,Ferguson-2018-Comment,Old Meets New: Subsurface Hydrogeological Connectivity and Groundwater Protection
The Persistence of Brines in Sedimentary Basins,"Grant Ferguson, Jennifer C. McIntosh, Stephen E. Grasby, M. Jim Hendry, Scott Jasechko, Matthew B.J. Lindsay, Elco Luijendijk, ","Brines are commonly found at depth in sedimentary basins. Many of these brines are known to be connate waters that have persisted since the early Paleozoic Era. Yet questions remain about their distribution and mechanisms for retention at depth in the Earth's crust. Here we demonstrate that there is insufficient topography to drive these dense fluids from the bottom of deep sedimentary basins. Our assessment based on driving force ratio indicates that sedimentary basins with driving force ratio > 1 contain connate waters and frequently host large evaporite deposits. These stagnant conditions appear to be relatively stable over geological time and insensitive to factors such as glaciations, erosion, compaction, and hydrocarbon generation.",G18-2001,4851-4858,10.1029/2018gl078409,Ferguson-2018-The,Old Meets New: Subsurface Hydrogeological Connectivity and Groundwater Protection
Competition for shrinking window of low salinity groundwater,"Grant Ferguson, Jennifer C. McIntosh, Debra Perrone, Scott Jasechko, ","Groundwater resources are being stressed from the top down and bottom up. Declining water tables and near-surface contamination are driving groundwater users to construct deeper wells in many US aquifer systems. This has been a successful short-term mitigation measure where deep groundwater is fresh and free of contaminants. Nevertheless, vertical salinity profiles are not well-constrained at continental-scales. In many regions, oil and gas activities use pore spaces for energy production and waste disposal. Here we quantify depths that aquifer systems transition from fresh-to-brackish and where oil and gas activities are widespread in sedimentary basins across the United States. Fresh-brackish transitions occur at relatively shallow depths of just a few hundred meters, particularly in eastern US basins. We conclude that fresh groundwater is less abundant in several key US basins than previously thought; therefore drilling deeper wells to access fresh groundwater resources is not feasible extensively across the continent. Our findings illustrate that groundwater stores are being depleted not only by excessive withdrawals, but due to injection, and potentially contamination, from the oil and gas industry in areas of deep fresh and brackish groundwater.",G18-3001,114013,10.1088/1748-9326/aae6d8,Ferguson-2018-Competition,Old Meets New: Subsurface Hydrogeological Connectivity and Groundwater Protection
Salt dissolution and permeability in the Western Canada Sedimentary Basin,"Blake Woroniuk, Kristl Tipton, Stephen E. Grasby, Jennifer C. McIntosh, Grant Ferguson, ","Extensive dissolution of evaporites has occurred in the Williston Basin, Canada, but it is unclear what effect this has had on bulk permeability. The bulk of this dissolution has occurred from the Prairie Evaporite Formation, which is predominantly halite and potash. However, minor evaporite beds and porosity infilling have also been removed from the overlying Dawson Bay and Souris River formations, which are predominantly carbonates. This study examines whether permeability values in the Dawson Bay and Souris River formations have been affected by dissolution, by analyzing 142 drillstem tests from those formations. For both the Dawson Bay and Souris River formations, the highest permeabilities were found in areas where halite dissolution had occurred. However, the mean permeabilities were not statistically different in areas of halite dissolution compared to those containing connate water. Subsequent precipitation of anhydrite is known to have clogged pore spaces and fractures in some instances. Geochemical relationships found here support this idea but there is no statistically significant relationship between anhydrite saturation and permeability. Geomechanical effects, notably closure of fractures due to collapse, could be a mitigating factor. The results indicate that coupling dissolution and precipitation to changes in permeability in regional flow models remains a significant challenge.",G18-4001,161-170,10.1007/s10040-018-1871-6,Woroniuk-2018-Salt,Old Meets New: Subsurface Hydrogeological Connectivity and Groundwater Protection
"Storage, mixing, and fluxes of water in the critical zone across northern environments inferred by stable isotopes of soil water","Matthias Sprenger, Doerthe Tetzlaff, J. M. Buttle, Sean K. Carey, J. P. McNamara, Hjalmar Laudon, Nadine J. Shatilla, Chris Soulsby, ","We thank Audrey Innes for isotope analysis at University of Aberdeen for Bruntland Burn and Krycklan sites, Johannes Tiwari (SLU) for isotope sampling in Krycklan, Pernilla Lofvenius (SLU) for providing PET data for Krycklan (via SITES), and Jeff McDonnell and Kim Janzen (University of Saskatchewan) for soil water isotope analysis for the Dorset and Wolf Creek sites. The Krycklan part was funded by the KAW Branch-Point project. We acknowledge the funding from the European Research Council (ERC, project GA 335910 VeWa). We thank the Editor and three anonymous reviewers for their critical comments during the peer-review process.",G18-5001,1720-1737,10.1002/hyp.13135,"Sprenger-2018-Storage,",Mountain Water Futures
Using stable isotopes to estimate travel times in a data-sparse Arctic catchment: Challenges and possible solutions,"Doerthe Tetzlaff, Thea Ilaria Piovano, Pertti Ala‐aho, Aaron Smith, Sean K. Carey, Philip Marsh, Philip A. Wookey, Lorna E. Street, Chris Soulsby, ","Use of isotopes to quantify the temporal dynamics of the transformation of precipitation into run-off has revealed fundamental new insights into catchment flow paths and mixing processes that influence biogeochemical transport. However, catchments underlain by permafrost have received little attention in isotope-based studies, despite their global importance in terms of rapid environmental change. These high-latitude regions offer limited access for data collection during critical periods (e.g., early phases of snowmelt). Additionally, spatio-temporal variable freeze-thaw cycles, together with the development of an active layer, have a time variant influence on catchment hydrology. All of these characteristics make the application of traditional transit time estimation approaches challenging. We describe an isotope-based study undertaken to provide a preliminary assessment of travel times at Siksik Creek in the western Canadian Arctic. We adopted a model-data fusion approach to estimate the volumes and isotopic characteristics of snowpack and meltwater. Using samples collected in the spring/summer, we characterize the isotopic composition of summer rainfall, melt from snow, soil water, and stream water. In addition, soil moisture dynamics and the temporal evolution of the active layer profile were monitored. First approximations of transit times were estimated for soil and streamwater compositions using lumped convolution integral models and temporally variable inputs including snowmelt, ice thaw, and summer rainfall. Comparing transit time estimates using a variety of inputs revealed that transit time was best estimated using all available inflows (i.e., snowmelt, soil ice thaw, and rainfall). Early spring transit times were short, dominated by snowmelt and soil ice thaw and limited catchment storage when soils are predominantly frozen. However, significant and increasing mixing with water in the active layer during the summer resulted in more damped steam water variation and longer mean travel times (~1.5 years). The study has also highlighted key data needs to better constrain travel time estimates in permafrost catchments.",G18-5002,1936-1952,10.1002/hyp.13146,Tetzlaff-2018-Using,Mountain Water Futures
Spatio-temporal tracer variability in the glacier melt end-member - How does it affect hydrograph separation results?,"Jan Schmieder, Jakob Garvelmann, Thomas Marke, Ulrich Strasser, ","Geochemical and isotopic tracers were often used in mixing models to estimate glacier melt contributions to streamflow, whereas the spatio‐temporal variability in the glacier melt tracer signature and its influence on tracer‐based hydrograph separation results received less attention. We present novel tracer data from a high‐elevation catchment (17 km2, glacierized area: 34%) in the Oetztal Alps (Austria) and investigated the spatial, as well as the subdaily to monthly tracer variability of supraglacial meltwater and the temporal tracer variability of winter baseflow to infer groundwater dynamics. The streamflow tracer variability during winter baseflow conditions was small, and the glacier melt tracer variation was higher, especially at the end of the ablation period. We applied a three‐component mixing model with electrical conductivity and oxygen‐18. Hydrograph separation (groundwater, glacier melt, and rain) was performed for 6 single glacier melt‐induced days (i.e., 6 events) during the ablation period 2016 (July to September). Median fractions (±uncertainty) of groundwater, glacier melt, and rain for the events were estimated at 49±2%, 35±11%, and 16±11%, respectively. Minimum and maximum glacier melt fractions at the subdaily scale ranged between 2±5% and 76±11%, respectively. A sensitivity analysis showed that the intraseasonal glacier melt tracer variability had a marked effect on the estimated glacier melt contribution during events with large glacier melt fractions of streamflow. Intra‐daily and spatial variation of the glacier melt tracer signature played a negligible role in applying the mixing model. The results of this study (a) show the necessity to apply a multiple sampling approach in order to characterize the glacier melt end‐member and (b) reveal the importance of groundwater and rainfall–runoff dynamics in catchments with a glacial flow regime.",G18-2001,1828-1843,10.1002/hyp.11628,Schmieder-2018-Spatio-temporal,Others
Scale Interactions in Turbulence for Mountain Blowing Snow,"Nikolas Aksamit, John W. Pomeroy, ","Abstract Blowing snow particle transport responds to wind motions across many length and time scales. This coupling is nonlinear by nature and complicated in atmospheric flows where eddies of many sizes are superimposed. In mountainous terrain, wind flow descriptions are further complicated by topographically influenced or enhanced flows. To improve the current understanding and modeling of blowing snow transport in complex terrain, statistically significant timing and frequencies of wind–snow coupling were identified in high-frequency observations of surface blowing snow and near-surface turbulence from a mountain field site in the Canadian Rockies. Investigation of the mechanisms influencing near-surface, high-frequency turbulence and snow concentration fluctuations provided strong evidence for amplitude modulation from large-scale motions. The large-scale atmospheric motions modulating near-surface turbulence and snow transport were then compared to specific quadrant analysis structures recently identified as relevant for outdoor blowing snow transport. The results suggest that large atmospheric structures modulate the amplitude of high-frequency turbulence and modify turbulence statistics typically used to model blowing snow. Additionally, blowing snow was preferentially redistributed under the footprint of these same sweep motions, with both low- and high-frequency coherence increasing in their presence.",G18-6001,305-320,10.1175/jhm-d-17-0179.1,Aksamit-2018-Scale,SPADE: Storms and Precipitation Across the Continental Divide Experiment
Global Estimates of River Flow Wave Travel Times and Implications for Low‐Latency Satellite Data,"George H. Allen, Cédric H. David, Konstantinos M. Andreadis, Faisal Hossain, J. S. Famiglietti, ","Earth‐orbiting satellites provide valuable observations of upstream river conditions worldwide. These observations can be used in real‐time applications like early flood warning systems and reservoir operations, provided they are made available to users with sufficient lead time. Yet the temporal requirements for access to satellite‐based river data remain uncharacterized for time‐sensitive applications. Here we present a global approximation of flow wave travel time to assess the utility of existing and future low‐latency/near‐real‐time satellite products, with an emphasis on the forthcoming SWOT satellite mission. We apply a kinematic wave model to a global hydrography data set and find that global flow waves traveling at their maximum speed take a median travel time of 6, 4, and 3 days to reach their basin terminus, the next downstream city, and the next downstream dam, respectively. Our findings suggest that a recently proposed ≤2‐day data latency for a low‐latency SWOT product is potentially useful for real‐time river applications.",G18-7001,7551-7560,10.1029/2018gl077914,Allen-2018-Global,Others
Biological and geophysical feedbacks with fire in the Earth system,"Sally Archibald, Caroline E. R. Lehmann, Claire M. Belcher, William J. Bond, Ross A. Bradstock, Anne-Laure Daniau, Kyle G. Dexter, Elisabeth J. Forrestel, Michelle Greve, Tianhua He, Steven I. Higgins, William A. Hoffmann, Byron B. Lamont, Daniel J. McGlinn, Glenn R. Moncrieff, Colin P. Osborne, Juli G. Pausas, Owen Price, Brad S. Ripley, Brendan M. Rogers, Dylan W. Schwilk, Marcelo Fragomeni Simon, M. R. Turetsky, Guido R. van der Werf, Amy E. Zanne, ","Roughly 3% of the Earth’s land surface burns annually, representing a critical exchange of energy and
matter between the land and atmosphere via combustion. Fires range from slow smouldering peat
fires, to low-intensity surface fires, to intense crown fires, depending on vegetation structure, fuel
moisture, prevailing climate, and weather conditions. While the links between biogeochemistry,
climate and fire are widely studied within Earth system science, these relationships are also mediated
by fuels—namely plants and their litter—that are the product of evolutionary and ecological
processes. Fire is a powerful selective force and, over their evolutionary history, plants have evolved
traits that both tolerate and promote fire numerous times and across diverse clades. Here we outline a
conceptual framework of how plant traits determine the flammability of ecosystems and interact with
climate and weather to influence fire regimes. We explore how these evolutionary and ecological
processes scale to impact biogeochemical and Earth system processes. Finally, we outline several
research challenges that, when resolved, will improve our understanding of the role of plant evolution
in mediating the fire feedbacks driving Earth system processes. Understanding current patterns of fire
and vegetation, as well as patterns of fire over geological time, requires research that incorporates
evolutionary biology, ecology, biogeography, and the biogeosciences.",G18-8001,033003,10.1088/1748-9326/aa9ead,Archibald-2018-Biological,Northern Water Futures
