title,author,abstract,url,pages,doi,bibkey
Assessment of Impacts of Climate Change on Tile Discharge and Nitrogen Yield Using the DRAINMOD Model,"Golmar Golmohammadi, Ramesh P. Rudra, Gary W. Parkin, Priyantha B. Kulasekera, Merrin Macrae, Pradeep K. Goel, ","The detrimental impacts of agricultural subsurface tile flows and their associated pollutants on water quality is a major environmental issue in the Great Lakes region and many other places globally. A strong understanding of water quality indicators along with the contribution of tile-drained agriculture to water contamination is necessary to assess and reduce a significant source of non-point source pollution. In this study, DRAINMOD, a field-scale hydrology and water quality model, was applied to assess the impact of future climatic change on depth to water table, tile flow and associated nitrate loss from an 8.66 ha agricultural field near Londesborough, in Southwestern Ontario, Canada. The closest available climate data from a weather station approximately 10 km from the field site was used by the Ontario Ministry of Natural Resources and Forestry (MNRF) to generate future predictions of daily precipitation and maximum and minimum air temperatures required to create the weather files for DRAINMOD. Of the 28 models applied by MNRF, three models (CGCM3T47-Run5, GFDLCM2.0, and MIROC3.2hires) were selected based on the frequency of the models recommended for use in Ontario with SRA1B emission scenario. Results suggested that simulated tile flows and evapotranspiration (ET) in the 2071–2100 period are expected to increase by 7% and 14% compared to 1960–1990 period. Results also suggest that under future climates, significant increases in nitrate losses (about 50%) will occur along with the elevated tile flows. This work suggests that climate change will have a significant effect on field hydrology and water quality in tile-drained agricultural regions.",G20-1001,1,10.3390/hydrology8010001,Golmohammadi-2020-Assessment
Joint Modeling of Crop and Irrigation in the central United States Using the Noah‐MP Land Surface Model,"Zhe Zhang, Michael Barlage, Fei Chen, Yanping Li, Warren Helgason, Xiaoyu Xu, Xing Liu, Zhenhua Li, ","Representing climate-crop interactions is critical to earth system modeling. Despite recent progress in modeling dynamic crop growth and irrigation in land surface models (LSMs), transitioning thes...",G20-2001,,10.1029/2020ms002159,Zhang-2020-Joint
"Rainfall–Runoff Prediction at Multiple Timescales with a Single
Long Short-Term Memory Network","Martin Gauch, Frederik Kratzert, Daniel Klotz, Grey Nearing, Jimmy Lin, Sepp Hochreiter, ","Abstract. Long Short-Term Memory Networks (LSTMs) have been applied to daily discharge prediction with remarkable success. Many practical scenarios, however, require predictions at more granular timescales. For instance, accurate prediction of short but extreme flood peaks can make a life-saving difference, yet such peaks may escape the coarse temporal resolution of daily predictions. Naively training an LSTM on hourly data, however, entails very long input sequences that make learning hard and computationally expensive. In this study, we propose two Multi-Timescale LSTM (MTS-LSTM) architectures that jointly predict multiple timescales within one model, as they process long-past inputs at a single temporal resolution and branch out into each individual timescale for more recent input steps. We test these models on 516 basins across the continental United States and benchmark against the US National Water Model. Compared to naive prediction with a distinct LSTM per timescale, the multi-timescale architectures are computationally more efficient with no loss in accuracy. Beyond prediction quality, the multi-timescale LSTM can process different input variables at different timescales, which is especially relevant to operational applications where the lead time of meteorological forcings depends on their temporal resolution.",G20-3001,,10.5194/hess-2020-540,Gauch-2020-Rainfall–Runoff
Size-Based Characterization of Freshwater Dissolved Organic Matter finds Similarities within a Water Body Type across Different Canadian Ecozones,"Pieter J. K. Aukes, Sherry L. Schiff, Jason J. Venkiteswaran, Richard J. Elgood, John Spoelstra, ","Dissolved Organic Matter (DOM) represents a mixture of organic molecules that vary due to different source materials and degree of processing. Characterizing how DOM composition evolves along the aquatic continuum can be difficult. Using a size-exclusion chromatography technique (LC-OCD), we assessed the variability in DOM composition from both surface and groundwaters across a number of Canadian ecozones (mean annual temperature spanning -10 to +6 C). A wide range in DOM concentration was found from 0.2 to 120 mg C/L. Proportions of different size-based groupings across ecozones were variable, yet similarities between specific water-body types, regardless of location, suggest commonality in the processes dictating the evolution of DOM composition. A principal-component analysis identified 70% of the variation in LC-OCD derived DOM compositions could be explained by the water-body type. We find that water-body type has a greater influence on DOM composition than differences in climate or surrounding vegetation.",G20-3002,,10.1101/2020.04.03.024174,Aukes-2020-Size-Based
"Hydrometeorological, glaciological and geospatial research data from the Peyto Glacier Research Basin in the Canadian Rockies","Dhiraj Pradhananga, John W. Pomeroy, Caroline Aubry-Wake, D. Scott Munro, Joseph Shea, Michael N. Demuth, Nammy Hang Kirat, Brian Menounos, Kriti Mukherjee, ","Abstract. This paper presents hydrometeorological, glaciological and geospatial data of the Peyto Glacier Research Basin (PGRB) in the Canadian Rockies. Peyto Glacier has been of interest to glaciological and hydrological researchers since the 1960s, when it was chosen as one of five glacier basins in Canada for the study of mass and water balance during the International Hydrological Decade (IHD, 1965–1974). Intensive studies of the glacier and observations of the glacier mass balance continued after the IHD, when the initial seasonal meteorological stations were discontinued, then restarted as continuous stations in the late 1980s. The corresponding hydrometric observations were discontinued in 1977 and restarted in 2013. Data sets presented in this paper include: high resolution, co-registered DEMs derived from original air photos and LiDAR surveys; hourly off-glacier meteorological data recorded from 1987 to present; precipitation data from nearby Bow Summit; and long-term hydrological and glaciological model forcing datasets derived from bias-corrected reanalysis products. These data are crucial for studying climate change and variability in the basin, and to understanding the hydrological responses of the basin to both glacier and climate change. The comprehensive data set for the PGRB is a valuable and exceptionally long-standing testament to the impacts of climate change on the cryosphere in the high mountain environment. The dataset is publicly available from Federated Research Data Repository at https://doi.org/10.20383/101.0259 (Pradhananga et al., 2020).",G20-3003,,10.5194/essd-2020-219,"Pradhananga-2020-Hydrometeorological,"
"Snow cover duration trends observed at sites and predicted by
multiple models","Richard Essery, Hyungjun Kim, Libo Wang, Paul Bartlett, Aaron Boone, Claire Brutel-Vuilmet, Eleanor Burke, Matthias Cuntz, Bertrand Decharme, Emanuel Dutra, Xing Fang, Yeugeniy Gusev, Stefan Hagemann, Vanessa Haverd, Anna Kontu, Gerhard Krinner, Matthieu Lafaysse, Yves Lejeune, Thomas Marke, Danny Marks, Christoph Marty, Cecile B. Menard, Olga Nasonova, Tomoko Nitta, John Pomeroy, Gerd Schaedler, Vladimir Semenov, Tatiana Smirnova, Sean Swenson, Dmitry Turkov, Nander Wever, Hua Yuan, ","Abstract. Thirty-year simulations of seasonal snow cover in 22 physically based models driven with bias-corrected meteorological reanalyses are examined at four sites with long records of snow observations. Annual snow cover durations differ widely between models but interannual variations are strongly correlated because of the common driving data. No significant trends are observed in starting dates for seasonal snow cover, but there are significant trends towards snow cover ending earlier at two of the sites in observations and most of the models. A simplified model with just two parameters controlling solar radiation and sensible heat contributions to snowmelt spans the ranges of snow cover durations and trends. This model predicts that sites where snow persists beyond annual peaks in solar radiation and air temperature will experience rapid decreases in snow cover duration with warming as snow begins to melt earlier and at times of year with more energy available for melting.",G20-3004,,10.5194/tc-2020-182,Essery-2020-Snow
Multi-scale snowdrift-permitting modelling of mountain snowpack,"Vincent Vionnet, Christopher B. Marsh, Brian Menounos, Simon Gascoin, Nicholas E. Wayand, Joseph Shea, Kriti Mukherjee, John W. Pomeroy, ","Abstract. The interaction of mountain terrain with meteorological processes causes substantial temporal and spatial variability in snow accumulation and ablation. Processes impacted by complex terrain include large-scale orographic enhancement of snowfall, small-scale processes such as gravitational and wind-induced transport of snow, and variability in the radiative balance such as through terrain shadowing. In this study, a multi-scale modeling approach is proposed to simulate the temporal and spatial evolution of high mountain snowpacks using the Canadian Hydrological Model (CHM), a multi-scale, spatially distributed modelling framework. CHM permits a variable spatial resolution by using the efficient terrain representation by unstructured triangular meshes. The model simulates processes such as radiation shadowing and irradiance to slopes, blowing snow redistribution and sublimation, avalanching, forest canopy interception and sublimation and snowpack melt. Short-term, km-scale atmospheric forecasts from Environment and Climate Change Canada's Global Environmental Multiscale Model through its High Resolution Deterministic Prediction System (HRDPS) drive CHM, and were downscaled to the unstructured mesh scale using process-based procedures. In particular, a new wind downscaling strategy combines meso-scale HRDPS outputs and micro-scale pre-computed wind fields to allow for blowing snow calculations. HRDPS-CHM was applied to simulate snow conditions down to 50-m resolution during winter 2017/2018 in a domain around the Kananaskis Valley (~1000 km2) in the Canadian Rockies. Simulations were evaluated using high-resolution airborne Light Detection and Ranging (LiDAR) snow depth data and snow persistence indexes derived from remotely sensed imagery. Results included model falsifications and showed that both blowing snow and gravitational snow redistribution need to be simulated to capture the snowpack variability and the evolution of snow depth and persistence with elevation across the region. Accumulation of wind-blown snow on leeward slopes and associated snow-cover persistence were underestimated in a CHM simulation driven by wind fields that did not capture leeside flow recirculation and associated wind speed decreases. A terrain-based metric helped to identify these lee-side areas and improved the wind field and the associated snow redistribution. An overestimation of snow redistribution from windward to leeward slopes and subsequent avalanching was still found. The results of this study highlight the need for further improvements of snowdrift-permitting models for large-scale applications, in particular the representation of subgrid topographic effects on snow transport.",G20-3005,,10.5194/tc-2020-187,Vionnet-2020-Multi-scale
Flood hazard and change impact assessments may profit from rethinking model calibration strategies,"Manuela I. Brunner, Lieke A. Melsen, Andrew W. Wood, Oldrich Rakovec, Naoki Mizukami, Wouter J. M. Knoben, Martyn P. Clark, ","Abstract. Floods cause large damages, especially if they affect large regions. Assessments of current, local and regional flood hazards and their future changes often involve the use of hydrologic models. However, uncertainties in simulated floods can be considerable and yield unreliable hazard and climate change impact assessments. A reliable hydrologic model ideally reproduces both local flood characteristics and spatial aspects of flooding, which is, however, not guaranteed especially when using standard model calibration metrics. In this paper we investigate how flood timing, magnitude and spatial variability are represented by an ensemble of hydrological models when calibrated on streamflow using the Kling–Gupta efficiency metric, an increasingly common metric of hydrologic model performance. We compare how four well-known models (SAC, HBV, VIC, and mHM) represent (1) flood characteristics and their spatial patterns; and (2) how they translate changes in meteorologic variables that trigger floods into changes in flood magnitudes. Our results show that both the modeling of local and spatial flood characteristics is challenging. They further show that changes in precipitation and temperature are not necessarily well translated to changes in flood flow, which makes local and regional flood hazard assessments even more difficult for future conditions. We conclude that models calibrated on integrated metrics such as the Kling–Gupta efficiency alone have limited reliability in flood hazard assessments, in particular in regional and future assessments, and suggest the development of alternative process-based and spatial evaluation metrics.",G20-3006,,10.5194/hess-2020-192,Brunner-2020-Flood
Flexible vector-based spatial configurations in land models,"Shervan Gharari, Martyn P. Clark, Naoki Mizukami, Wouter J. M. Knoben, Jefferson S. Wong, Alain Pietroniro, ","Abstract. Land models are increasingly used in terrestrial hydrology due to their process-oriented representation of water and energy fluxes. Land models can be set up at a range of spatial configurations, often ranging from grid sizes of 0.02 to 2 degrees (approximately 2 to 200 km) and applied at sub-daily temporal resolutions for simulation of energy fluxes. A priori specification of the grid size of the land models typically is derived from forcing resolutions, modeling objectives, available geo-spatial data and computational resources. Typically, the choice of model configuration and grid size is based on modeling convenience and is rarely examined for adequate physical representation in the context of modeling. The variability of the inputs and parameters, forcings, soil types, and vegetation covers, are masked or aggregated based on the a priori chosen grid size. In this study, we propose an alternative to directly set up a land model based on the concept of Group Response Unit (GRU). Each GRU is a unique combination of land cover, soil type, and other desired geographical features that has hydrological significance, such as elevation zone, slope, and aspect. Computational units are defined as GRUs that are forced at a specific forcing resolution; therefore, each computational unit has a unique combination of specific geo-spatial data and forcings. We set up the Variable Infiltration Capacity (VIC) model, based on the GRU concept (VIC-GRU). Utilizing this model setup and its advantages we try to answer the following questions: (1) how well a model configuration simulates an output variable, such as streamflow, for range of computational units, (2) how well a model configuration with fewer computational units, coarser forcing resolution and less geo-spatial information, reproduces a model set up with more computational units, finer forcing resolution and more geo-spatial information, and finally (3) how uncertain the model structure and parameters are for the land model. Our results, although case dependent, show that the models may similarly reproduce output with a lower number of computational units in the context of modeling (streamflow for example). Our results also show that a model configuration with a lower number of computational units may reproduce the simulations from a model configuration with more computational units. Similarly, this can assist faster parameter identification and model diagnostic suites, such as sensitivity and uncertainty, on a less computationally expensive model setup. Finally, we encourage the land model community to adopt flexible approaches that will provide a better understanding of accuracy-performance tradeoff in land models.",G20-3007,,10.5194/hess-2020-111,Gharari-2020-Flexible
The catastrophic thermokarst lake drainage events of 2018 in northwestern Alaska: Fast-forward into the future,"Ingmar Nitze, Sarah Cooley, Claude Duguay, Benjamin M. Jones, Guido Grosse, ","Abstract. Northwestern Alaska has been highly affected by changing climatic patterns with new temperature and precipitation maxima over the recent years. In particular, the Baldwin and northern Seward peninsulas are characterized by an abundance of thermokarst lakes that are highly dynamic and prone to lake drainage, like many other regions at the southern margins of continuous permafrost. We used Sentinel-1 synthetic aperture radar (SAR) and Planet CubeSat optical remote sensing data to analyze recently observed widespread lake drainage. We then used synoptic weather data, climate model outputs and lake-ice growth simulations to analyze potential drivers and future pathways of lake drainage in this region. Following the warmest and wettest winter on record in 2017/2018, 192 lakes were identified to have completely or partially drained in early summer 2018, which exceeded the average drainage rate by a factor of ~ 10 and doubled the rates of the previous extreme lake drainage years of 2005 and 2006. The combination of abundant rain- and snowfall and extremely warm mean annual air temperatures (MAAT), close to 0 °C, may have led to the destabilization of permafrost around the lake margins. Rapid snow melt and high amounts of excess meltwater further promoted rapid lateral breaching at lake shores and consequently sudden drainage of some of the largest lakes of the study region that likely persisted for millenia. We hypothesize that permafrost destabilization and lake drainage will accelerate and become the dominant drivers of landscape change in this region. Recent MAAT are already within the range of predictions by UAF SNAP ensemble climate predictions in scenario RCP6.0 for 2100. With MAAT in 2019 exceeding 0 °C at the nearby Kotzebue, Alaska climate station for the first time since continuous recording started in 1949, permafrost aggradation in drained lake basins will become less likely after drainage, strongly decreasing the potential for freeze-locking carbon sequestered in lake sediments, signifying a prominent regime shift in ice-rich permafrost lowland regions.",G20-3008,,10.5194/tc-2020-106,Nitze-2020-The
