doi,Name,Name_Variants,Institution,code
10.1007/s00382-016-3232-2,M. B. Masud,"['Badrul Masud', 'Mohammad Badrul Masud', 'M. Badrul Masud', 'Mohammad Masud', 'M. Masud', 'M.B. Masud', 'M. B. Masud']",University of Alberta,0017
10.1007/s00382-016-3232-2,M. N. Khaliq,"['M. Khaliq', 'M. N. Khaliq', 'Mahmooda Khaliq', 'M.N. Khaliq', 'M. Naveed Khaliq']",National Research Council Canada,0424
10.1007/s00382-016-3232-2,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1007/s00382-016-3404-0,M. B. Masud,"['Badrul Masud', 'Mohammad Badrul Masud', 'M. Badrul Masud', 'Mohammad Masud', 'M. Masud', 'M.B. Masud', 'M. B. Masud']",University of Alberta,0017
10.1007/s00382-016-3404-0,M. N. Khaliq,"['M. Khaliq', 'M. N. Khaliq', 'Mahmooda Khaliq', 'M.N. Khaliq', 'M. Naveed Khaliq']",National Research Council Canada,0424
10.1007/s00382-016-3404-0,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.2166/nh.2016.038,Ilias Pechlivanidis,"['I.G. Pechlivanidis', 'Ilias G Pechlivanidis', 'Ilias G. Pechlivanidis', 'Ilias Pechlivanidis', 'I. G. Pechlivanidis', 'I. Pechlivanidis', 'Pechlivanidis Ilias']",Swedish Meteorological and Hydrological Institute,0393
10.2166/nh.2016.038,Neil McIntyre,"['N.R. Mcintyre', 'N.R. McIntyre', 'N. McIntyre', 'Neil McIntyre', 'Neil McINTYRE', 'Neil Robert McIntyre', 'N. R. Mcintyre', 'Neil Mcintyre', 'N McIntyre', 'Neil R. McIntyre', 'N. Mcintyre', 'N. R. McIntyre']",University of Queensland,0150
10.2166/nh.2016.038,H. S. Wheater,"['H. S. Wheater', 'Howard S Wheater', 'H.S Wheater', 'Howard Simon Wheater', 'Howard S. Wheater', 'H.S. Wheater', 'H. Wheater', 'H Wheater', 'H S Wheater', 'Howard Wheater']",University of Saskatchewan,0001
10.1007/s10021-016-0055-2,M. R. Turetsky,"['Merritt Turetsky', 'M.R. Turetsky', 'M R Turetsky', 'M. R. Turetsky', 'M. Turetsky', 'Merritt R. TuretskyM.R. Turetsky', 'Merritt R Turetsky', 'M.R Turetsky', 'Merritt R. Turetsky']",University of Colorado System,0082
10.1007/s10021-016-0055-2,Jennifer L. Baltzer,"['J. L. Baltzer', 'J.L. Baltzer', 'J L Baltzer', 'Jennifer Lynn Baltzer', 'Jennifer Baltzer', 'J. Baltzer', 'Jennifer L. Baltzer', 'Jennifer L Baltzer']",Wilfrid Laurier University,0006
10.1007/s10021-016-0055-2,Jill F. Johnstone,"['Jermaine Johnstone', 'J. Johnstone', 'Jill F Johnstone', 'J.F. Johnstone', 'Jill Johnstone', 'Jill JohnstoneJ. Johnstone', 'Jill F. Johnstone', 'J. F. Johnstone', 'Jill F. JohnstoneJ.F. Johnstone', 'Jill F. Johnstone']",Yukon University,0135
